"GEO_ID","NAME","B08303_001E","B08303_001M","B08303_002E","B08303_002M","B08303_003E","B08303_003M","B08303_004E","B08303_004M","B08303_005E","B08303_005M","B08303_006E","B08303_006M","B08303_007E","B08303_007M","B08303_008E","B08303_008M","B08303_009E","B08303_009M","B08303_010E","B08303_010M","B08303_011E","B08303_011M","B08303_012E","B08303_012M","B08303_013E","B08303_013M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 5 minutes","Margin of Error!!Total:!!Less than 5 minutes","Estimate!!Total:!!5 to 9 minutes","Margin of Error!!Total:!!5 to 9 minutes","Estimate!!Total:!!10 to 14 minutes","Margin of Error!!Total:!!10 to 14 minutes","Estimate!!Total:!!15 to 19 minutes","Margin of Error!!Total:!!15 to 19 minutes","Estimate!!Total:!!20 to 24 minutes","Margin of Error!!Total:!!20 to 24 minutes","Estimate!!Total:!!25 to 29 minutes","Margin of Error!!Total:!!25 to 29 minutes","Estimate!!Total:!!30 to 34 minutes","Margin of Error!!Total:!!30 to 34 minutes","Estimate!!Total:!!35 to 39 minutes","Margin of Error!!Total:!!35 to 39 minutes","Estimate!!Total:!!40 to 44 minutes","Margin of Error!!Total:!!40 to 44 minutes","Estimate!!Total:!!45 to 59 minutes","Margin of Error!!Total:!!45 to 59 minutes","Estimate!!Total:!!60 to 89 minutes","Margin of Error!!Total:!!60 to 89 minutes","Estimate!!Total:!!90 or more minutes","Margin of Error!!Total:!!90 or more minutes",
"310M700US10180","Abilene, TX Metro Area","77151","1902","2968","404","13936","1025","17577","1354","16367","1074","12197","1030","3497","525","4201","489","589","178","932","329","1883","379","1506","331","1498","327",
"310M700US10380","Aguadilla, PR Metro Area","72233","2148","2973","590","9036","1007","9512","871","12831","1029","10915","1065","5492","714","6354","780","3597","653","1791","405","4604","679","2960","604","2168","412",
"310M700US10420","Akron, OH Metro Area","293676","3352","7405","723","30825","1697","45517","1845","49907","1793","44496","1599","25267","1381","35051","1394","12078","892","11213","797","19832","1191","7388","633","4697","564",
"310M700US10500","Albany, GA Metro Area","54645","1203","2191","484","5849","563","9205","860","11933","892","8806","777","2581","404","5819","648","1037","268","1161","323","3154","517","1690","340","1219","360",
"310M700US10540","Albany, OR Metro Area","51401","1283","2936","499","6763","909","7301","746","5886","610","5425","561","4920","602","6812","648","1701","369","1902","407","3914","454","2056","349","1785","461",
"310M700US10580","Albany-Schenectady-Troy, NY Metro Area","377846","3733","10069","827","36319","1538","57433","1953","65458","2467","62436","1910","32899","1279","48549","1489","12180","804","13834","1007","21790","1016","10457","785","6422","741",
"310M700US10740","Albuquerque, NM Metro Area","363427","3968","8179","890","32647","1644","49274","2462","63791","2274","62961","2563","28256","1566","53147","2229","9899","935","11648","1006","21264","1327","14057","969","8304","922",
"310M700US10780","Alexandria, LA Metro Area","58647","1489","2248","513","7897","973","11644","984","11531","915","8569","863","3304","520","5660","562","1055","244","816","227","2277","382","1399","356","2247","424",
"310M700US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","368081","3209","11066","883","33438","1577","46730","1773","58230","1752","58232","1979","27283","1439","45391","2015","12259","862","12657","921","25566","1275","22488","1216","14741","1164",
