GeoFIPS,GeoName,LineCode,Description,2024
" ""10180""","Abilene, TX (Metropolitan Statistical Area)",1.0,RPPs: All items ,90.364
" ""10180""","Abilene, TX (Metropolitan Statistical Area)",2.0, RPPs: Goods ,93.757
" ""10180""","Abilene, TX (Metropolitan Statistical Area)",3-5,RPPs: Services,83.731
" ""10420""","Akron, OH (Metropolitan Statistical Area)",1.0,RPPs: All items ,93.37
" ""10420""","Akron, OH (Metropolitan Statistical Area)",2.0, RPPs: Goods ,93.628
" ""10420""","Akron, OH (Metropolitan Statistical Area)",3-5,RPPs: Services,90.72399999999999
" ""10500""","Albany, GA (Metropolitan Statistical Area)",1.0,RPPs: All items ,87.669
" ""10500""","Albany, GA (Metropolitan Statistical Area)",2.0, RPPs: Goods ,96.269
" ""10500""","Albany, GA (Metropolitan Statistical Area)",3-5,RPPs: Services,80.52166666666666
" ""10540""","Albany, OR (Metropolitan Statistical Area)",1.0,RPPs: All items ,102.1
" ""10540""","Albany, OR (Metropolitan Statistical Area)",2.0, RPPs: Goods ,105.261
" ""10540""","Albany, OR (Metropolitan Statistical Area)",3-5,RPPs: Services,102.05766666666666
" ""10580""","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",1.0,RPPs: All items ,99.566
" ""10580""","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",2.0, RPPs: Goods ,99.693
" ""10580""","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",3-5,RPPs: Services,111.46133333333334
" ""10740""","Albuquerque, NM (Metropolitan Statistical Area)",1.0,RPPs: All items ,95.546
" ""10740""","Albuquerque, NM (Metropolitan Statistical Area)",2.0, RPPs: Goods ,96.144
" ""10740""","Albuquerque, NM (Metropolitan Statistical Area)",3-5,RPPs: Services,88.515
" ""10780""","Alexandria, LA (Metropolitan Statistical Area)",1.0,RPPs: All items ,85.686
" ""10780""","Alexandria, LA (Metropolitan Statistical Area)",2.0, RPPs: Goods ,93.691
" ""10780""","Alexandria, LA (Metropolitan Statistical Area)",3-5,RPPs: Services,73.48833333333333
" ""10900""","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",1.0,RPPs: All items ,99.968
" ""10900""","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",2.0, RPPs: Goods ,100.569
" ""10900""","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",3-5,RPPs: Services,103.621
" ""11020""","Altoona, PA (Metropolitan Statistical Area)",1.0,RPPs: All items ,89.507
" ""11020""","Altoona, PA (Metropolitan Statistical Area)",2.0, RPPs: Goods ,100.684
" ""11020""","Altoona, PA (Metropolitan Statistical Area)",3-5,RPPs: Services,86.79233333333333
" ""11100""","Amarillo, TX (Metropolitan Statistical Area)",1.0,RPPs: All items ,91.82
" ""11100""","Amarillo, TX (Metropolitan Statistical Area)",2.0, RPPs: Goods ,93.757
" ""11100""","Amarillo, TX (Metropolitan Statistical Area)",3-5,RPPs: Services,86.03133333333334
" ""11180""","Ames, IA (Metropolitan Statistical Area)",1.0,RPPs: All items ,88.83
" ""11180""","Ames, IA (Metropolitan Statistical Area)",2.0, RPPs: Goods ,93.73
" ""11180""","Ames, IA (Metropolitan Statistical Area)",3-5,RPPs: Services,81.698
" ""11200""","Amherst Town-Northampton, MA (Metropolitan Statistical Area)",1.0,RPPs: All items ,100.243
" ""11200""","Amherst Town-Northampton, MA (Metropolitan Statistical Area)",2.0, RPPs: Goods ,97.015
" ""11200""","Amherst Town-Northampton, MA (Metropolitan Statistical Area)",3-5,RPPs: Services,118.15566666666666
" ""11260""","Anchorage, AK (Metropolitan Statistical Area)",1.0,RPPs: All items ,105.42
" ""11260""","Anchorage, AK (Metropolitan Statistical Area)",2.0, RPPs: Goods ,107.34
" ""11260""","Anchorage, AK (Metropolitan Statistical Area)",3-5,RPPs: Services,108.33966666666667
" ""11460""","Ann Arbor, MI (Metropolitan Statistical Area)",1.0,RPPs: All items ,100.88
" ""11460""","Ann Arbor, MI (Metropolitan Statistical Area)",2.0, RPPs: Goods ,93.711
" ""11460""","Ann Arbor, MI (Metropolitan Statistical Area)",3-5,RPPs: Services,107.68166666666667
" ""11500""","Anniston-Oxford, AL (Metropolitan Statistical Area)",1.0,RPPs: All items ,85.949
" ""11500""","Anniston-Oxford, AL (Metropolitan Statistical Area)",2.0, RPPs: Goods ,96.397
" ""11500""","Anniston-Oxford, AL (Metropolitan Statistical Area)",3-5,RPPs: Services,79.50833333333333
" ""11540""","Appleton, WI (Metropolitan Statistical Area)",1.0,RPPs: All items ,92.419
" ""11540""","Appleton, WI (Metropolitan Statistical Area)",2.0, RPPs: Goods ,93.787
" ""11540""","Appleton, WI (Metropolitan Statistical Area)",3-5,RPPs: Services,86.928
" ""11700""","Asheville, NC (Metropolitan Statistical Area)",1.0,RPPs: All items ,96.506
" ""11700""","Asheville, NC (Metropolitan Statistical Area)",2.0, RPPs: Goods ,96.621
" ""11700""","Asheville, NC (Metropolitan Statistical Area)",3-5,RPPs: Services,93.39566666666667
" ""12020""","Athens-Clarke County, GA (Metropolitan Statistical Area)",1.0,RPPs: All items ,93.343
" ""12020""","Athens-Clarke County, GA (Metropolitan Statistical Area)",2.0, RPPs: Goods ,96.269
" ""12020""","Athens-Clarke County, GA (Metropolitan Statistical Area)",3-5,RPPs: Services,88.22766666666666
" ""12060""","Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",1.0,RPPs: All items ,100.058
" ""12060""","Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",2.0, RPPs: Goods ,100.416
" ""12060""","Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",3-5,RPPs: Services,101.32066666666667
" ""12100""","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",1.0,RPPs: All items ,98.857
" ""12100""","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",2.0, RPPs: Goods ,99.79
" ""12100""","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",3-5,RPPs: Services,101.93400000000001
" ""12220""","Auburn-Opelika, AL (Metropolitan Statistical Area)",1.0,RPPs: All items ,87.933
" ""12220""","Auburn-Opelika, AL (Metropolitan Statistical Area)",2.0, RPPs: Goods ,96.397
" ""12220""","Auburn-Opelika, AL (Metropolitan Statistical Area)",3-5,RPPs: Services,80.88666666666667
" ""12260""","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",1.0,RPPs: All items ,91.903
" ""12260""","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",2.0, RPPs: Goods ,96.293
" ""12260""","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",3-5,RPPs: Services,86.20533333333333
" ""12420""","Austin-Round Rock-San Marcos, TX (Metropolitan Statistical Area)",1.0,RPPs: All items ,98.066
" ""12420""","Austin-Round Rock-San Marcos, TX (Metropolitan Statistical Area)",2.0, RPPs: Goods ,93.757
" ""12420""","Austin-Round Rock-San Marcos, TX (Metropolitan Statistical Area)",3-5,RPPs: Services,99.54833333333333
" ""12540""","Bakersfield-Delano, CA (Metropolitan Statistical Area)",1.0,RPPs: All items ,100.886
" ""12540""","Bakersfield-Delano, CA (Metropolitan Statistical Area)",2.0, RPPs: Goods ,105.168
" ""12540""","Bakersfield-Delano, CA (Metropolitan Statistical Area)",3-5,RPPs: Services,116.27166666666666
" ""12580""","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",1.0,RPPs: All items ,104.487
" ""12580""","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",2.0, RPPs: Goods ,102.353
" ""12580""","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",3-5,RPPs: Services,109.96833333333332
" ""12620""","Bangor, ME (Metropolitan Statistical Area)",1.0,RPPs: All items ,96.508
" ""12620""","Bangor, ME (Metropolitan Statistical Area)",2.0, RPPs: Goods ,97.171
" ""12620""","Bangor, ME (Metropolitan Statistical Area)",3-5,RPPs: Services,105.21266666666666
" ""12700""","Barnstable Town, MA (Metropolitan Statistical Area)",1.0,RPPs: All items ,98.351
" ""12700""","Barnstable Town, MA (Metropolitan Statistical Area)",2.0, RPPs: Goods ,97.015
" ""12700""","Barnstable Town, MA (Metropolitan Statistical Area)",3-5,RPPs: Services,116.553
" ""12940""","Baton Rouge, LA (Metropolitan Statistical Area)",1.0,RPPs: All items ,90.78
" ""12940""","Baton Rouge, LA (Metropolitan Statistical Area)",2.0, RPPs: Goods ,93.691
" ""12940""","Baton Rouge, LA (Metropolitan Statistical Area)",3-5,RPPs: Services,80.35766666666667
" ""12980""","Battle Creek, MI (Metropolitan Statistical Area)",1.0,RPPs: All items ,90.541
" ""12980""","Battle Creek, MI (Metropolitan Statistical Area)",2.0, RPPs: Goods ,93.711
" ""12980""","Battle Creek, MI (Metropolitan Statistical Area)",3-5,RPPs: Services,85.203
" ""13020""","Bay City, MI (Metropolitan Statistical Area)",1.0,RPPs: All items ,91.921
" ""13020""","Bay City, MI (Metropolitan Statistical Area)",2.0, RPPs: Goods ,93.711
" ""13020""","Bay City, MI (Metropolitan Statistical Area)",3-5,RPPs: Services,87.15466666666667
" ""13140""","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",1.0,RPPs: All items ,90.046
" ""13140""","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",2.0, RPPs: Goods ,93.757
" ""13140""","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",3-5,RPPs: Services,83.42566666666666
" ""13220""","Beckley, WV (Metropolitan Statistical Area)",1.0,RPPs: All items ,88.369
" ""13220""","Beckley, WV (Metropolitan Statistical Area)",2.0, RPPs: Goods ,96.27
" ""13220""","Beckley, WV (Metropolitan Statistical Area)",3-5,RPPs: Services,81.27533333333334
" ""13380""","Bellingham, WA (Metropolitan Statistical Area)",1.0,RPPs: All items ,103.334
" ""13380""","Bellingham, WA (Metropolitan Statistical Area)",2.0, RPPs: Goods ,105.028
" ""13380""","Bellingham, WA (Metropolitan Statistical Area)",3-5,RPPs: Services,104.09866666666666
" ""13460""","Bend, OR (Metropolitan Statistical Area)",1.0,RPPs: All items ,103.607
" ""13460""","Bend, OR (Metropolitan Statistical Area)",2.0, RPPs: Goods ,105.261
" ""13460""","Bend, OR (Metropolitan Statistical Area)",3-5,RPPs: Services,105.08266666666667
" ""13740""","Billings, MT (Metropolitan Statistical Area)",1.0,RPPs: All items ,93.526
" ""13740""","Billings, MT (Metropolitan Statistical Area)",2.0, RPPs: Goods ,96.006
" ""13740""","Billings, MT (Metropolitan Statistical Area)",3-5,RPPs: Services,82.83866666666667
" ""13780""","Binghamton, NY (Metropolitan Statistical Area)",1.0,RPPs: All items ,92.863
" ""13780""","Binghamton, NY (Metropolitan Statistical Area)",2.0, RPPs: Goods ,99.693
" ""13780""","Binghamton, NY (Metropolitan Statistical Area)",3-5,RPPs: Services,99.67166666666668
" ""13820""","Birmingham, AL (Metropolitan Statistical Area)",1.0,RPPs: All items ,91.644
" ""13820""","Birmingham, AL (Metropolitan Statistical Area)",2.0, RPPs: Goods ,96.397
" ""13820""","Birmingham, AL (Metropolitan Statistical Area)",3-5,RPPs: Services,84.11566666666666
" ""13900""","Bismarck, ND (Metropolitan Statistical Area)",1.0,RPPs: All items ,91.024
" ""13900""","Bismarck, ND (Metropolitan Statistical Area)",2.0, RPPs: Goods ,95.701
" ""13900""","Bismarck, ND (Metropolitan Statistical Area)",3-5,RPPs: Services,83.39
" ""13980""","Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",1.0,RPPs: All items ,92.71
" ""13980""","Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",2.0, RPPs: Goods ,96.773
" ""13980""","Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",3-5,RPPs: Services,87.02666666666666
" ""14010""","Bloomington, IL (Metropolitan Statistical Area)",1.0,RPPs: All items ,93.537
" ""14010""","Bloomington, IL (Metropolitan Statistical Area)",2.0, RPPs: Goods ,93.643
" ""14010""","Bloomington, IL (Metropolitan Statistical Area)",3-5,RPPs: Services,87.96533333333333
" ""14020""","Bloomington, IN (Metropolitan Statistical Area)",1.0,RPPs: All items ,95.084
" ""14020""","Bloomington, IN (Metropolitan Statistical Area)",2.0, RPPs: Goods ,94.318
" ""14020""","Bloomington, IN (Metropolitan Statistical Area)",3-5,RPPs: Services,90.41633333333334
" ""14260""","Boise City, ID (Metropolitan Statistical Area)",1.0,RPPs: All items ,98.391
" ""14260""","Boise City, ID (Metropolitan Statistical Area)",2.0, RPPs: Goods ,96.179
