area_fips,area_title,agglvl_code,oty_month3_emplvl_pct_chg
C1018,"Abilene, TX MSA",40,-0.2
C1038,"Aguadilla, PR MSA",40,0.0
C1042,"Akron, OH MSA",40,-0.5
C1050,"Albany, GA MSA",40,-1.8
C1054,"Albany, OR MSA",40,0.5
C1058,"Albany-Schenectady-Troy, NY MSA",40,1.3
C1074,"Albuquerque, NM MSA",40,-0.3
C1078,"Alexandria, LA MSA",40,0.4
C1090,"Allentown-Bethlehem-Easton, PA-NJ MSA",40,1.7
C1102,"Altoona, PA MSA",40,0.7
C1110,"Amarillo, TX MSA",40,1.1
C1118,"Ames, IA MSA",40,-0.9
C1120,"Amherst Town-Northampton, MA MSA",40,-0.6
C1126,"Anchorage, AK MSA",40,0.8
C1146,"Ann Arbor, MI MSA",40,-0.1
C1150,"Anniston-Oxford, AL MSA",40,-1.6
C1154,"Appleton, WI MSA",40,-0.1
C1164,"Arecibo, PR MSA",40,-3.2
C1170,"Asheville, NC MSA",40,-2.9
C1202,"Athens-Clarke County, GA MSA",40,1.8
C1206,"Atlanta-Sandy Springs-Roswell, GA MSA",40,-0.2
C1210,"Atlantic City-Hammonton, NJ MSA",40,0.0
C1222,"Auburn-Opelika, AL MSA",40,1.5
C1226,"Augusta-Richmond County, GA-SC MSA",40,0.4
C1242,"Austin-Round Rock-San Marcos, TX MSA",40,2.0
C1254,"Bakersfield-Delano, CA MSA",40,-0.9
C1258,"Baltimore-Columbia-Towson, MD MSA",40,-0.2
C1262,"Bangor, ME MSA",40,-1.9
C1270,"Barnstable Town, MA MSA",40,-0.2
C1294,"Baton Rouge, LA MSA",40,-0.5
C1298,"Battle Creek, MI MSA",40,1.6
C1302,"Bay City, MI MSA",40,0.8
C1314,"Beaumont-Port Arthur, TX MSA",40,1.1
C1322,"Beckley, WV MSA",40,0.1
C1338,"Bellingham, WA MSA",40,2.0
C1346,"Bend, OR MSA",40,-0.1
C1374,"Billings, MT MSA",40,0.4
C1378,"Binghamton, NY MSA",40,0.0
C1382,"Birmingham, AL MSA",40,0.0
C1390,"Bismarck, ND MSA",40,0.1
C1398,"Blacksburg-Christiansburg-Radford, VA MSA",40,-3.3
C1401,"Bloomington, IL MSA",40,-3.5
C1402,"Bloomington, IN MSA",40,0.3
C1426,"Boise City, ID MSA",40,2.1
C1446,"Boston-Cambridge-Newton, MA-NH MSA",40,-1.2
C1450,"Boulder, CO MSA",40,-2.3
C1454,"Bowling Green, KY MSA",40,0.3
C1458,"Bozeman, MT MSA",40,1.5
C1474,"Bremerton-Silverdale-Port Orchard, WA MSA",40,1.8
C1486,"Bridgeport-Stamford-Danbury, CT MSA",40,0.1
C1518,"Brownsville-Harlingen, TX MSA",40,-2.2
C1526,"Brunswick-St. Simons, GA MSA",40,1.1
C1538,"Buffalo-Cheektowaga, NY MSA",40,0.1
C1550,"Burlington, NC MSA",40,-2.5
C1554,"Burlington-South Burlington, VT MSA",40,-0.9
C1594,"Canton-Massillon, OH MSA",40,-0.9
C1598,"Cape Coral-Fort Myers, FL MSA",40,0.5
C1602,"Cape Girardeau, MO-IL MSA",40,0.4
C1618,"Carson City, NV MSA",40,0.9
C1622,"Casper, WY MSA",40,-0.1
C1630,"Cedar Rapids, IA MSA",40,-0.6
C1654,"Chambersburg, PA MSA",40,1.8
C1658,"Champaign-Urbana, IL MSA",40,-0.6
C1662,"Charleston, WV MSA",40,-2.2
C1670,"Charleston-North Charleston, SC MSA",40,1.7
C1674,"Charlotte-Concord-Gastonia, NC-SC MSA",40,1.1
C1682,"Charlottesville, VA MSA",40,1.3
C1686,"Chattanooga, TN-GA MSA",40,-1.6
C1694,"Cheyenne, WY MSA",40,1.9
C1698,"Chicago-Naperville-Elgin, IL-IN MSA",40,0.4
C1702,"Chico, CA MSA",40,-0.7
C1714,"Cincinnati, OH-KY-IN MSA",40,0.4
C1730,"Clarksville, TN-KY MSA",40,0.5
C1741,"Cleveland, OH MSA",40,-1.0
C1742,"Cleveland, TN MSA",40,-1.8
C1766,"Coeur d'Alene, ID MSA",40,1.5
C1778,"College Station-Bryan, TX MSA",40,1.4
C1782,"Colorado Springs, CO MSA",40,-0.9
C1786,"Columbia, MO MSA",40,1.1
C1790,"Columbia, SC MSA",40,0.5
C1798,"Columbus, GA-AL MSA",40,0.1
C1802,"Columbus, IN MSA",40,-1.9
C1814,"Columbus, OH MSA",40,1.7
C1858,"Corpus Christi, TX MSA",40,1.4
C1870,"Corvallis, OR MSA",40,0.2
C1888,"Crestview-Fort Walton Beach-Destin, FL MSA",40,0.2
