"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","0","10","50","0","2025","2","",164849,2115574,2123180,2123869,33124517960,2413807981,11784338,1201,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4157,2.6,12135,0.6,12966,0.6,7603,0.4,1585273341,5.0,-45416788,-1.8,-2277173,-16.2,51,4.4
"01000","1","10","51","0","2025","2","",1275,58540,58035,57895,1532397937,0,0,2027,"",1.55,1.45,1.45,1.45,1.85,0.00,0.00,1.28,"",10,0.8,472,0.8,34,0.1,-167,-0.3,100065182,7.0,0,0.0,0,0.0,129,6.8
"01000","2","10","51","0","2025","2","",1419,110802,110464,108817,1955662625,172559,546,1367,"",1.45,1.66,1.66,1.65,1.70,0.01,0.05,1.03,"",-7,-0.5,5186,4.9,5083,4.8,4433,4.2,191719817,10.9,87244,102.3,376,221.2,76,5.9
"01000","3","10","51","0","2025","2","",3795,226590,230619,232195,3204161594,18948497,99173,1073,"",1.63,1.11,1.12,1.15,1.09,0.45,1.53,0.97,"",0,0.0,1518,0.7,4228,1.9,4255,1.9,164699077,5.4,1527767,8.8,42865,76.1,41,4.0
"01000","5","10","51","0","2025","2","",158360,1719642,1724062,1724962,26432295804,2394686925,11684619,1180,"",0.99,0.95,0.95,0.95,0.94,1.02,1.00,0.99,"",4154,2.7,4959,0.3,3621,0.2,-918,-0.1,1128789265,4.5,-47031799,-1.9,-2320414,-16.6,49,4.3
"01000","8","10","96","0","2025","2","",6489,395932,399118,398907,6692222156,19121056,99719,1293,"",1.57,1.27,1.28,1.30,1.36,0.32,1.32,1.06,"",3,0.0,7176,1.8,9345,2.4,8521,2.2,456484076,7.3,1615011,9.2,43241,76.6,62,5.0
"01001","0","10","70","0","2025","2","",1185,13057,13119,13152,169682330,15018024,85038,996,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",72,6.5,801,6.5,745,6.0,699,5.6,14613894,9.4,1358186,9.9,14711,20.9,31,3.2
"01001","1","10","71","0","2025","2","",12,96,88,87,1390128,0,0,1184,"",2.03,0.39,0.36,0.35,0.33,0.00,0.00,0.90,"",1,9.1,-5,-5.0,-9,-9.3,-5,-5.4,-138891,-9.1,0,0.0,0,0.0,-33,-2.7
"01001","2","10","71","0","2025","2","",20,691,687,688,9811868,0,0,1096,"",2.84,1.67,1.67,1.69,1.67,0.00,0.00,0.99,"",0,0.0,45,7.0,38,5.9,34,5.2,906171,10.2,0,0.0,0,0.0,42,4.0
"01001","3","10","71","0","2025","2","",32,1950,1951,1939,25040644,4464,9,989,"",1.92,1.54,1.53,1.56,1.66,0.02,0.02,1.07,"",0,0.0,45,2.4,18,0.9,20,1.0,1190530,5.0,-5940,-57.1,-12,-57.1,33,3.5
"01001","5","10","71","0","2025","2","",1121,10320,10393,10438,133439690,15013560,85029,989,"",0.97,0.93,0.93,0.93,0.92,1.02,1.01,1.00,"",71,6.8,716,7.5,698,7.2,650,6.6,12656084,10.5,1364126,10.0,14723,20.9,31,3.2
"01003","0","10","70","0","2025","2","",9354,87638,89044,90005,1146658058,134830533,667640,992,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",640,7.3,2640,3.1,2934,3.4,2723,3.1,75947547,7.1,4477483,3.4,-84081,-11.2,36,3.8
"01003","1","10","71","0","2025","2","",36,408,395,395,7220767,0,0,1391,"",0.77,0.24,0.24,0.23,0.25,0.00,0.00,1.06,"",0,0.0,12,3.0,-10,-2.5,-11,-2.7,-338749,-4.5,0,0.0,0,0.0,-54,-3.7
"01003","2","10","71","0","2025","2","",37,1121,1086,1099,15370613,0,0,1073,"",0.66,0.40,0.39,0.39,0.39,0.00,0.00,0.98,"",2,5.7,0,0.0,9,0.8,48,4.6,609661,4.1,0,0.0,0,0.0,25,2.4
"01003","3","10","71","0","2025","2","",97,10221,10323,10449,143132879,1110915,2424,1066,"",0.74,1.20,1.20,1.23,1.40,0.47,0.66,1.16,"",1,1.0,424,4.3,470,4.8,432,4.3,12163411,9.3,-118022,-9.6,-3428,-58.6,47,4.6
"01003","5","10","71","0","2025","2","",9184,75888,77240,78062,980933799,133719618,665216,979,"",1.01,1.02,1.02,1.01,1.00,1.02,1.00,0.99,"",637,7.5,2204,3.0,2465,3.3,2254,3.0,63513224,6.9,4595505,3.6,-80653,-10.8,35,3.7
"01005","0","10","70","0","2025","2","",599,7764,7761,7726,87898192,8647697,40953,872,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,0.5,60,0.8,17,0.2,-103,-1.3,2630364,3.1,-1200930,-12.2,-19952,-32.8,27,3.2
"01005","1","10","71","0","2025","2","",9,56,51,49,769266,0,0,1138,"",3.01,0.38,0.35,0.34,0.35,0.00,0.00,0.99,"",0,0.0,-3,-5.1,1,2.0,3,6.5,-14538,-1.9,0,0.0,0,0.0,-29,-2.5
"01005","2","10","71","0","2025","2","",18,493,488,487,7434504,0,0,1169,"",5.05,2.01,2.00,2.03,2.44,0.00,0.00,1.21,"",0,0.0,19,4.0,19,4.1,19,4.1,387455,5.5,0,0.0,0,0.0,16,1.4
"01005","3","10","71","0","2025","2","",31,924,916,927,11346762,93523,529,946,"",3.67,1.23,1.22,1.27,1.45,0.61,2.35,1.17,"",0,0.0,-17,-1.8,-40,-4.2,-27,-2.8,539336,5.0,-7898,-7.8,41,8.4,71,8.1
"01005","5","10","71","0","2025","2","",541,6291,6306,6263,68347660,8554174,40424,836,"",0.93,0.95,0.95,0.95,0.91,1.01,0.99,0.96,"",3,0.6,61,1.0,37,0.6,-98,-1.5,1718111,2.6,-1193032,-12.2,-19993,-33.1,21,2.6
