"CBSA Code","CBSA","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"10100","Aberdeen, SD",".",".",".",".",".",".",".",".",".","17","5.2","156","22","."
"10300","Adrian, MI",".",".",".",".","0.07","0.062",".",".",".","16","7",".",".","."
"10420","Akron, OH",".",".",".",".","0.08","0.069","4","1","0","15","7.3",".",".","."
"10500","Albany, GA",".",".",".",".",".",".",".",".",".","27","8.9",".",".","."
"10580","Albany-Schenectady-Troy, NY",".",".",".",".","0.08","0.063",".",".",".","20","6.9",".",".","."
"10740","Albuquerque, NM","2.9","1.5","43","10","0.09","0.076",".","1","0","24","8.6","300","51","."
"10780","Alexandria, LA",".",".",".",".",".",".",".",".",".","23","8",".",".","."
"10900","Allentown-Bethlehem-Easton, PA-NJ",".",".","45","10","0.08","0.067","5","2","0","16","6.7",".",".","."
"11020","Altoona, PA",".",".",".",".","0.08","0.066","4","2","0","16","5.9",".",".","."
"11100","Amarillo, TX",".",".",".",".","0.07","0.069","118","20","2",".",".",".",".","."
"11140","Americus, GA",".",".",".",".","0.07","0.059",".",".",".",".",".",".",".","."
"11260","Anchorage, AK","3.4","2.7",".",".",".",".",".",".",".","17","5.4","106","18","."
"11460","Ann Arbor, MI",".",".",".",".","0.07","0.064",".",".",".","16","7",".",".","."
"11540","Appleton, WI",".",".",".",".","0.07","0.061","20","6","1","19","6.2",".",".","."
"11620","Ardmore, OK",".",".",".",".","0.09","0.078",".",".",".",".",".",".",".","."
"11640","Arecibo, PR",".",".",".",".",".",".",".",".",".",".",".",".",".","0"
"11660","Arkadelphia, AR",".",".",".",".","0.07","0.06",".",".",".",".",".",".",".","."
"11700","Asheville, NC",".",".",".",".","0.07","0.063","1","1","0","17","7.8","33","14","."
"11780","Ashtabula, OH",".",".",".",".","0.08","0.067",".",".",".",".",".",".",".","."
"11900","Athens, OH",".",".",".",".",".",".",".",".",".","12","5.4",".",".","."
"11940","Athens, TN",".",".",".",".",".",".",".",".",".","16","6.4",".",".","."
"12020","Athens-Clarke County, GA",".",".",".",".","0.07","0.062",".",".",".","24","8.7",".",".","."
"12060","Atlanta-Sandy Springs-Roswell, GA","1.9","1.5","48","16","0.09","0.075","5","3","1","26","10.4","36","16","."
"12100","Atlantic City-Hammonton, NJ",".",".",".",".","0.07","0.055","1","0","0","15","5.5",".",".","."
