GEO_ID,NAME,B25014_008E,B25014_008M,B25014_009E,B25014_009M,B25014_010E,B25014_010M,B25014_011E,B25014_011M,B25014_012E,B25014_012M,B25014_013E,,,,,,,,,,,,,,,B25014_013M
Geography,Geographic Area Name,Estimate!!Total:!!Renter occupied:,Margin of Error!!Total:!!Renter occupied:,Estimate!!Total:!!Renter occupied:!!0.50 or less occupants per room,Margin of Error!!Total:!!Renter occupied:!!0.50 or less occupants per room,Estimate!!Total:!!Renter occupied:!!0.51 to 1.00 occupants per room,Margin of Error!!Total:!!Renter occupied:!!0.51 to 1.00 occupants per room,Estimate!!Total:!!Renter occupied:!!1.01 to 1.50 occupants per room,Margin of Error!!Total:!!Renter occupied:!!1.01 to 1.50 occupants per room,Estimate!!Total:!!Renter occupied:!!1.51 to 2.00 occupants per room,Margin of Error!!Total:!!Renter occupied:!!1.51 to 2.00 occupants per room,Estimate!!Total:!!Renter occupied:!!2.01 or more occupants per room,,,,,,,,,,,,,,,Margin of Error!!Total:!!Renter occupied:!!2.01 or more occupants per room
310M700US10180,"Abilene, TX Metro Area",23836,843,15024,945,8010,716,648,207,141,102,13,,,,,,,,,,,,,,,20
310M700US10380,"Aguadilla, PR Metro Area",31473,1424,19696,1118,11241,952,268,149,200,144,68,,,,,,,,,,,,,,,62
310M700US10420,"Akron, OH Metro Area",94611,2079,70060,1987,22901,1224,890,309,738,242,22,,,,,,,,,,,,,,,29
310M700US10500,"Albany, GA Metro Area",25251,946,16903,1033,7644,769,581,170,80,55,43,,,,,,,,,,,,,,,55
310M700US10540,"Albany, OR Metro Area",16811,703,9416,589,6333,624,839,228,212,105,11,,,,,,,,,,,,,,,16
310M700US10580,"Albany-Schenectady-Troy, NY Metro Area",137310,2074,100731,1921,32909,1616,2146,360,1345,367,179,,,,,,,,,,,,,,,93
310M700US10740,"Albuquerque, NM Metro Area",116350,2189,76649,2283,34306,1439,3062,583,2202,473,131,,,,,,,,,,,,,,,81
310M700US10780,"Alexandria, LA Metro Area",18750,948,12033,729,6005,596,564,224,116,75,32,,,,,,,,,,,,,,,40
310M700US10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",102884,2151,66675,2003,32545,1502,2158,439,1082,275,424,,,,,,,,,,,,,,,208
310M700US11020,"Altoona, PA Metro Area",13979,614,11282,670,2609,339,69,58,19,19,0,,,,,,,,,,,,,,,28
310M700US11100,"Amarillo, TX Metro Area",37228,1296,24058,1106,11208,816,1430,402,442,170,90,,,,,,,,,,,,,,,81
310M700US11180,"Ames, IA Metro Area",19492,798,13180,790,6103,612,152,73,50,48,7,,,,,,,,,,,,,,,11
310M700US11200,"Amherst Town-Northampton, MA Metro Area",19998,900,13670,827,5954,619,233,134,137,84,4,,,,,,,,,,,,,,,8
310M700US11260,"Anchorage, AK Metro Area",48281,1485,29584,1342,15670,988,1737,300,987,231,303,,,,,,,,,,,,,,,99
310M700US11460,"Ann Arbor, MI Metro Area",57782,1330,38824,1351,17422,926,1086,228,322,119,128,,,,,,,,,,,,,,,96
310M700US11500,"Anniston-Oxford, AL Metro Area",13361,850,9095,743,3947,591,206,138,49,36,64,,,,,,,,,,,,,,,54
310M700US11540,"Appleton, WI Metro Area",26614,840,19493,790,6466,625,435,150,211,107,9,,,,,,,,,,,,,,,15
310M700US11640,"Arecibo, PR Metro Area",20902,1139,12834,979,7489,794,411,171,74,60,94,,,,,,,,,,,,,,,111
310M700US11700,"Asheville, NC Metro Area",49081,1825,30370,1557,16863,1272,808,275,889,364,151,,,,,,,,,,,,,,,150
310M700US12020,"Athens-Clarke County, GA Metro Area",38167,1174,24219,1204,12917,1036,783,229,248,155,0,,,,,,,,,,,,,,,34
310M700US12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",783586,7640,500408,6503,248404,5380,22377,1284,10729,1063,1668,,,,,,,,,,,,,,,334
310M700US12100,"Atlantic City-Hammonton, NJ Metro Area",43107,1487,26749,1279,13844,1128,1531,304,710,247,273,,,,,,,,,,,,,,,140
310M700US12220,"Auburn-Opelika, AL Metro Area",26155,1124,17845,879,7460,808,307,124,397,164,146,,,,,,,,,,,,,,,115
310M700US12260,"Augusta-Richmond County, GA-SC Metro Area",74119,2275,50885,2137,21211,1380,1585,380,329,145,109,,,,,,,,,,,,,,,69
