"GEO_ID","NAME","B20004_001E","B20004_001M","B20004_002E","B20004_002M","B20004_003E","B20004_003M","B20004_004E","B20004_004M","B20004_005E","B20004_005M","B20004_006E","B20004_006M","B20004_007E","B20004_007M","B20004_008E","B20004_008M","B20004_009E","B20004_009M","B20004_010E","B20004_010M","B20004_011E","B20004_011M","B20004_012E","B20004_012M","B20004_013E","B20004_013M","B20004_014E","B20004_014M","B20004_015E","B20004_015M","B20004_016E","B20004_016M","B20004_017E","B20004_017M","B20004_018E","B20004_018M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than high school graduate","Margin of Error!!Total:!!Less than high school graduate","Estimate!!Total:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!High school graduate (includes equivalency)","Estimate!!Total:!!Some college or associate's degree","Margin of Error!!Total:!!Some college or associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Graduate or professional degree","Margin of Error!!Total:!!Graduate or professional degree","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Less than high school graduate","Margin of Error!!Total:!!Male:!!Less than high school graduate","Estimate!!Total:!!Male:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Male:!!High school graduate (includes equivalency)","Estimate!!Total:!!Male:!!Some college or associate's degree","Margin of Error!!Total:!!Male:!!Some college or associate's degree","Estimate!!Total:!!Male:!!Bachelor's degree","Margin of Error!!Total:!!Male:!!Bachelor's degree","Estimate!!Total:!!Male:!!Graduate or professional degree","Margin of Error!!Total:!!Male:!!Graduate or professional degree","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Less than high school graduate","Margin of Error!!Total:!!Female:!!Less than high school graduate","Estimate!!Total:!!Female:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Female:!!High school graduate (includes equivalency)","Estimate!!Total:!!Female:!!Some college or associate's degree","Margin of Error!!Total:!!Female:!!Some college or associate's degree","Estimate!!Total:!!Female:!!Bachelor's degree","Margin of Error!!Total:!!Female:!!Bachelor's degree","Estimate!!Total:!!Female:!!Graduate or professional degree","Margin of Error!!Total:!!Female:!!Graduate or professional degree",
"310M700US10180","Abilene, TX Metro Area","44613","1443","29788","2539","35753","2103","44794","1819","58212","2380","66549","5825","51862","2317","35765","4518","43886","2828","53602","4025","65608","4209","74737","14009","38027","1426","22296","5016","27806","2641","36992","1603","51837","5963","62031","3747",
"310M700US10380","Aguadilla, PR Metro Area","20408","679","10960","1190","17304","1110","19350","889","26907","1316","37382","3061","20330","778","11152","1204","18202","757","21785","1242","31487","3358","48764","9641","20511","965","9759","2768","13477","1815","17102","1156","25137","1635","32677","3604",
"310M700US10420","Akron, OH Metro Area","50360","636","31474","1769","39266","1244","44258","858","66405","1732","85002","2184","59157","1337","40603","3707","46933","1838","52830","1554","81784","3338","100068","3372","42667","835","25760","1478","31766","1013","37249","1022","55306","1798","74395","2423",
"310M700US10500","Albany, GA Metro Area","43066","1666","25556","3689","35517","1663","39444","2744","60220","3034","69143","3439","49424","1660","28443","6242","42594","3845","51965","2982","66462","9429","81225","11033","38161","1964","22373","4599","29317","1934","32049","2014","56582","8796","66272","4597",
"310M700US10540","Albany, OR Metro Area","48590","1325","36869","3143","41261","2924","46993","1510","62041","3460","73273","4174","57349","2259","42603","9760","49540","3460","60433","2595","67756","5815","76425","8768","40537","1998","35430","5702","26330","2750","38102","3117","56500","5140","71327","5519",
"310M700US10580","Albany-Schenectady-Troy, NY Metro Area","61605","575","31824","1143","43536","1115","53150","1352","75715","1372","87769","1639","70005","958","35280","2483","51613","1096","61338","1361","85987","2023","103009","2459","54025","1140","24819","3691","35988","1150","45882","1079","62800","2213","80246","1823",
"310M700US10740","Albuquerque, NM Metro Area","48456","719","29344","1705","36553","807","43541","1310","59132","1291","82576","2307","53582","1243","33142","2412","40743","1818","50654","1746","68286","3655","101442","3522","43363","1078","23802","1982","32280","1022","37906","1535","53539","2438","73813","1844",
"310M700US10780","Alexandria, LA Metro Area","43336","1835","29203","2591","37973","2619","39779","2829","59083","3821","65886","2301","52140","2569","33353","3243","49153","3015","49629","4831","75213","7725","69007","6523","36381","1363","21477","10351","30318","2786","34705","2871","51655","3104","60061","11306",
"310M700US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","52943","821","33286","1770","42584","836","49285","805","67773","2301","86945","2096","61976","658","39286","3230","51384","1182","60927","943","79373","2227","106920","3385","44573","855","26723","2757","32481","1083","41167","956","57688","2018","75805","2414",
"310M700US11020","Altoona, PA Metro Area","44667","1396","30738","5308","37778","1506","41880","1372","60854","2813","65205","2998","51527","1576","35931","5215","46034","2078","47815","2850","67882","5391","83553","7765","37891","1290","23664","7451","28971","2073","37304","1255","52788","4044","60988","2681",
"310M700US11100","Amarillo, TX Metro Area","49713","1573","33237","1606","38585","2564","45809","1609","66664","1618","83891","7348","59757","1946","37251","1853","49229","3198","58991","3727","80795","5255","107537","9248","39285","1706","23802","2861","30008","1994","36153","1201","59308","3340","72328","2873",
"310M700US11180","Ames, IA Metro Area","53012","1463","32990","7753","40703","1415","47312","1738","60517","1845","74445","3589","60481","1907","32967","7473","48386","4015","56901","3853","72805","3938","80103","5329","45385","1822","33750","28422","29179","2571","40652","1643","51979","4013","66654","4702",
"310M700US11200","Amherst Town-Northampton, MA Metro Area","60523","1539","41261","5888","45486","2627","49260","2188","63012","5176","78865","2806","66932","2760","45598","14358","55354","8254","56451","3096","72417","4693","89570","5440","53877","2662","31429","22319","34337","5480","39928","6453","55601","5028","74863","3239",
"310M700US11260","Anchorage, AK Metro Area","61265","781","37241","5475","44366","1686","56485","1783","74453","2267","97262","3197","70115","1798","42171","5786","50710","2237","66969","2294","87320","4057","114341","8061","52745","1573","31851","5930","36839","2255","47938","1695","63565","3807","88619","3979",
"310M700US11460","Ann Arbor, MI Metro Area","60100","1068","28220","3312","35213","2045","44557","1849","64118","2066","90705","2268","71471","2301","32351","3673","40774","2095","50223","2897","84386","3765","110914","2994","50522","1007","18561","3068","30905","806","38505","2736","52234","1505","74497","2608",
"310M700US11500","Anniston-Oxford, AL Metro Area","40143","2044","31803","2767","33528","1705","42148","2425","51269","3199","62521","6305","47303","2984","35938","3310","38182","3067","52237","2394","62736","10632","74349","2837","34908","1863","22984","3789","26519","4135","35385","3351","48011","4896","56465","2871",
"310M700US11540","Appleton, WI Metro Area","56136","892","43997","3141","47602","1716","51492","1277","66848","1995","80324","4089","66613","1245","48872","2291","56042","1425","66212","1770","84638","2649","96765","12745","45498","1220","33920","2504","36698","1212","39910","1168","55780","2343","69654","5341",
"310M700US11640","Arecibo, PR Metro Area","21906","529","12683","2219","18071","827","20426","918","28257","1548","41384","2282","21908","645","14244","2293","18966","941","23621","1962","29829","2312","47450","6028","21903","806","9028","1428","15549","2247","17867","1377","26554","2912","39843","3996",
"310M700US11700","Asheville, NC Metro Area","43951","939","27111","2822","32642","1433","41737","1173","52193","1327","68307","3697","50173","1026","30142","2433","36499","1332","48860","2547","60568","2159","84535","4552","39175","1694","20518","2126","28599","1238","36217","1641","45499","2111","61321","2946",
"310M700US12020","Athens-Clarke County, GA Metro Area","47091","1240","34594","2845","36148","1660","39908","2223","56443","4179","69926","5058","54164","2579","38291","5277","42122","4091","45536","4143","69338","4288","89576","6001","41029","1698","30928","3410","31475","2314","33863","2121","45959","3089","61737","2840",
"310M700US12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","55510","399","33019","798","39563","540","47051","513","72746","654","91335","802","63013","657","37661","879","45194","653","55420","863","88500","1280","114028","2344","48661","408","26355","860","33002","768","40584","442","60777","582","79058","1032",
"310M700US12100","Atlantic City-Hammonton, NJ Metro Area","49885","1013","29907","2971","38596","1487","44845","1786","67203","1829","87350","3485","57106","1753","34464","3345","47488","2557","51498","2860","74551","3435","103743","7312","43012","1324","22773","3430","31181","1586","40559","1654","59482","3904","79448","2962",
"310M700US12220","Auburn-Opelika, AL Metro Area","49754","1533","33497","6248","37225","1896","44517","2088","59998","2568","67358","2860","60245","1543","42681","9684","44594","3291","55341","2686","74161","3091","82318","7256","40744","1717","20852","7592","32056","1847","37060","2206","48064","3896","60623","2553",
"310M700US12260","Augusta-Richmond County, GA-SC Metro Area","46938","1063","28979","3778","36347","1065","41505","1032","65119","2536","77390","2475","56244","1723","32960","2181","43675","2007","53378","2041","80026","3772","102420","4258","38996","1420","20308","6599","30041","2305","34067","1149","53407","2942","66725","2970",
"310M700US12420","Austin-Round Rock-San Marcos, TX Metro Area","62150","375","34343","1668","41831","783","52559","811","78079","1172","95193","1662","72525","826","39996","1675","47941","1358","61256","874","95379","1764","121618","1770","53865","580","25518","1873","34270","1297","44325","888","64614","974","76103","1711",
