"GEO_ID","NAME","B25064_001E","B25064_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent",
"310M700US10180","Abilene, TX Metro Area","1141","24",
"310M700US10380","Aguadilla, PR Metro Area","528","18",
"310M700US10420","Akron, OH Metro Area","1033","12",
"310M700US10500","Albany, GA Metro Area","950","21",
"310M700US10540","Albany, OR Metro Area","1320","38",
"310M700US10580","Albany-Schenectady-Troy, NY Metro Area","1280","16",
"310M700US10740","Albuquerque, NM Metro Area","1156","17",
"310M700US10780","Alexandria, LA Metro Area","946","32",
"310M700US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","1365","18",
"310M700US11020","Altoona, PA Metro Area","885","33",
"310M700US11100","Amarillo, TX Metro Area","1086","20",
"310M700US11180","Ames, IA Metro Area","1000","30",
"310M700US11200","Amherst Town-Northampton, MA Metro Area","1388","32",
"310M700US11260","Anchorage, AK Metro Area","1458","32",
"310M700US11460","Ann Arbor, MI Metro Area","1463","21",
"310M700US11500","Anniston-Oxford, AL Metro Area","826","31",
"310M700US11540","Appleton, WI Metro Area","1060","23",
"310M700US11640","Arecibo, PR Metro Area","550","26",
"310M700US11700","Asheville, NC Metro Area","1296","34",
"310M700US12020","Athens-Clarke County, GA Metro Area","1201","27",
"310M700US12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","1672","7",
"310M700US12100","Atlantic City-Hammonton, NJ Metro Area","1373","34",
"310M700US12220","Auburn-Opelika, AL Metro Area","1026","38",
"310M700US12260","Augusta-Richmond County, GA-SC Metro Area","1120","17",
"310M700US12420","Austin-Round Rock-San Marcos, TX Metro Area","1726","11",
"310M700US12540","Bakersfield-Delano, CA Metro Area","1300","21",
"310M700US12580","Baltimore-Columbia-Towson, MD Metro Area","1611","12",
"310M700US12620","Bangor, ME Metro Area","1041","28",
"310M700US12700","Barnstable Town, MA Metro Area","1678","60",
"310M700US12940","Baton Rouge, LA Metro Area","1135","18",
"310M700US12980","Battle Creek, MI Metro Area","968","26",
"310M700US13020","Bay City, MI Metro Area","860","37",
"310M700US13140","Beaumont-Port Arthur, TX Metro Area","1106","22",
"310M700US13220","Beckley, WV Metro Area","856","36",
"310M700US13380","Bellingham, WA Metro Area","1555","39",
"310M700US13460","Bend, OR Metro Area","1697","44",
"310M700US13740","Billings, MT Metro Area","1117","35",
"310M700US13780","Binghamton, NY Metro Area","939","22",
"310M700US13820","Birmingham, AL Metro Area","1172","15",
"310M700US13900","Bismarck, ND Metro Area","1021","35",
"310M700US13980","Blacksburg-Christiansburg-Radford, VA Metro Area","1104","32",
"310M700US14010","Bloomington, IL Metro Area","1009","30",
"310M700US14020","Bloomington, IN Metro Area","1176","27",
"310M700US14260","Boise City, ID Metro Area","1487","27",
"310M700US14460","Boston-Cambridge-Newton, MA-NH Metro Area","2023","11",
"310M700US14500","Boulder, CO Metro Area","1966","30",
"310M700US14540","Bowling Green, KY Metro Area","975","19",
"310M700US14580","Bozeman, MT Metro Area","1694","60",
"310M700US14740","Bremerton-Silverdale-Port Orchard, WA Metro Area","1822","27",
"310M700US14860","Bridgeport-Stamford-Danbury, CT Metro Area","1875","25",
"310M700US15180","Brownsville-Harlingen, TX Metro Area","912","25",
"310M700US15260","Brunswick-St. Simons, GA Metro Area","1080","53",
"310M700US15380","Buffalo-Cheektowaga, NY Metro Area","1057","10",
"310M700US15500","Burlington, NC Metro Area","1064","25",
"310M700US15540","Burlington-South Burlington, VT Metro Area","1581","33",
"310M700US15940","Canton-Massillon, OH Metro Area","908","12",
"310M700US15980","Cape Coral-Fort Myers, FL Metro Area","1712","17",
"310M700US16020","Cape Girardeau, MO-IL Metro Area","864","33",
"310M700US16180","Carson City, NV Metro Area","1248","61",
"310M700US16220","Casper, WY Metro Area","1016","45",
"310M700US16300","Cedar Rapids, IA Metro Area","928","35",
"310M700US16540","Chambersburg, PA Metro Area","1093","32",
"310M700US16580","Champaign-Urbana, IL Metro Area","1043","20",
"310M700US16620","Charleston, WV Metro Area","896","26",
"310M700US16700","Charleston-North Charleston, SC Metro Area","1605","26",
"310M700US16740","Charlotte-Concord-Gastonia, NC-SC Metro Area","1473","12",
"310M700US16820","Charlottesville, VA Metro Area","1598","30",
"310M700US16860","Chattanooga, TN-GA Metro Area","1163","19",
"310M700US16940","Cheyenne, WY Metro Area","1160","39",
"310M700US16980","Chicago-Naperville-Elgin, IL-IN Metro Area","1430","6",
"310M700US17020","Chico, CA Metro Area","1414","26",
"310M700US17140","Cincinnati, OH-KY-IN Metro Area","1105","10",
"310M700US17300","Clarksville, TN-KY Metro Area","1207","22",
"310M700US17410","Cleveland, OH Metro Area","1050","9",
"310M700US17420","Cleveland, TN Metro Area","1006","30",
"310M700US17660","Coeur d'Alene, ID Metro Area","1492","50",
"310M700US17780","College Station-Bryan, TX Metro Area","1178","17",
"310M700US17820","Colorado Springs, CO Metro Area","1699","20",
"310M700US17860","Columbia, MO Metro Area","1070","20",
"310M700US17900","Columbia, SC Metro Area","1193","15",
"310M700US17980","Columbus, GA-AL Metro Area","1069","17",
"310M700US18020","Columbus, IN Metro Area","1127","39",
"310M700US18140","Columbus, OH Metro Area","1274","9",
"310M700US18580","Corpus Christi, TX Metro Area","1275","27",
"310M700US18700","Corvallis, OR Metro Area","1410","43",
"310M700US18880","Crestview-Fort Walton Beach-Destin, FL Metro Area","1633","42",
"310M700US19100","Dallas-Fort Worth-Arlington, TX Metro Area","1614","6",
"310M700US19140","Dalton, GA Metro Area","938","27",
"310M700US19300","Daphne-Fairhope-Foley, AL Metro Area","1277","56",
"310M700US19340","Davenport-Moline-Rock Island, IA-IL Metro Area","941","16",
"310M700US19430","Dayton-Kettering-Beavercreek, OH Metro Area","1039","13",
"310M700US19460","Decatur, AL Metro Area","847","25",
"310M700US19500","Decatur, IL Metro Area","847","22",
"310M700US19660","Deltona-Daytona Beach-Ormond Beach, FL Metro Area","1500","27",
"310M700US19740","Denver-Aurora-Centennial, CO Metro Area","1874","9",
"310M700US19780","Des Moines-West Des Moines, IA Metro Area","1150","14",
"310M700US19820","Detroit-Warren-Dearborn, MI Metro Area","1207","7",
"310M700US20020","Dothan, AL Metro Area","910","18",
"310M700US20100","Dover, DE Metro Area","1354","31",
"310M700US20220","Dubuque, IA Metro Area","959","26",
"310M700US20260","Duluth, MN-WI Metro Area","990","21",
"310M700US20500","Durham-Chapel Hill, NC Metro Area","1466","20",
"310M700US20580","Eagle Pass, TX Metro Area","859","76",
"310M700US20740","Eau Claire, WI Metro Area","1033","33",
"310M700US20940","El Centro, CA Metro Area","1056","30",
"310M700US21060","Elizabethtown, KY Metro Area","964","25",
"310M700US21140","Elkhart-Goshen, IN Metro Area","1047","29",
"310M700US21300","Elmira, NY Metro Area","1059","36",
"310M700US21340","El Paso, TX Metro Area","1079","14",
"310M700US21420","Enid, OK Metro Area","919","31",
"310M700US21500","Erie, PA Metro Area","904","20",
"310M700US21660","Eugene-Springfield, OR Metro Area","1355","23",
"310M700US21780","Evansville, IN Metro Area","986","15",
"310M700US21820","Fairbanks-College, AK Metro Area","1459","45",
"310M700US22020","Fargo, ND-MN Metro Area","967","16",
"310M700US22140","Farmington, NM Metro Area","956","44",
"310M700US22180","Fayetteville, NC Metro Area","1212","15",
"310M700US22220","Fayetteville-Springdale-Rogers, AR Metro Area","1157","15",
"310M700US22380","Flagstaff, AZ Metro Area","1473","62",
"310M700US22420","Flint, MI Metro Area","989","19",
"310M700US22500","Florence, SC Metro Area","934","22",
"310M700US22520","Florence-Muscle Shoals, AL Metro Area","853","26",
"310M700US22540","Fond du Lac, WI Metro Area","960","28",
"310M700US22660","Fort Collins-Loveland, CO Metro Area","1716","22",
"310M700US22900","Fort Smith, AR-OK Metro Area","866","19",
"310M700US23060","Fort Wayne, IN Metro Area","1003","16",
"310M700US23420","Fresno, CA Metro Area","1392","15",
"310M700US23460","Gadsden, AL Metro Area","847","44",
"310M700US23540","Gainesville, FL Metro Area","1295","33",
"310M700US23580","Gainesville, GA Metro Area","1341","49",
"310M700US23900","Gettysburg, PA Metro Area","1115","39",
"310M700US24020","Glens Falls, NY Metro Area","1077","26",
"310M700US24140","Goldsboro, NC Metro Area","965","30",
"310M700US24220","Grand Forks, ND-MN Metro Area","967","30",
"310M700US24260","Grand Island, NE Metro Area","929","32",
"310M700US24300","Grand Junction, CO Metro Area","1182","43",
"310M700US24340","Grand Rapids-Wyoming-Kentwood, MI Metro Area","1202","13",
"310M700US24420","Grants Pass, OR Metro Area","1194","51",
"310M700US24500","Great Falls, MT Metro Area","939","28",
"310M700US24540","Greeley, CO Metro Area","1539","41",
"310M700US24580","Green Bay, WI Metro Area","1010","18",
"310M700US24660","Greensboro-High Point, NC Metro Area","1093","13",
"310M700US24780","Greenville, NC Metro Area","993","21",
"310M700US24860","Greenville-Anderson-Greer, SC Metro Area","1150","16",
"310M700US25020","Guayama, PR Metro Area","470","36",
"310M700US25060","Gulfport-Biloxi, MS Metro Area","1097","17",
"310M700US25180","Hagerstown-Martinsburg, MD-WV Metro Area","1159","28",
"310M700US25220","Hammond, LA Metro Area","1003","43",
"310M700US25260","Hanford-Corcoran, CA Metro Area","1331","49",
"310M700US25420","Harrisburg-Carlisle, PA Metro Area","1212","18",
"310M700US25500","Harrisonburg, VA Metro Area","1173","34",
"310M700US25540","Hartford-West Hartford-East Hartford, CT Metro Area","1416","14",
"310M700US25620","Hattiesburg, MS Metro Area","1014","35",
"310M700US25740","Helena, MT Metro Area","1082","43",
"310M700US25860","Hickory-Lenoir-Morganton, NC Metro Area","869","18",
"310M700US25940","Hilton Head Island-Bluffton-Port Royal, SC Metro Area","1573","68",
"310M700US25980","Hinesville, GA Metro Area","1213","45",
"310M700US26140","Homosassa Springs, FL Metro Area","1107","50",
"310M700US26300","Hot Springs, AR Metro Area","966","27",
"310M700US26380","Houma-Bayou Cane-Thibodaux, LA Metro Area","1014","41",
"310M700US26420","Houston-Pasadena-The Woodlands, TX Metro Area","1430","6",
"310M700US26580","Huntington-Ashland, WV-KY-OH Metro Area","884","18",
"310M700US26620","Huntsville, AL Metro Area","1183","22",
"310M700US26820","Idaho Falls, ID Metro Area","1127","35",
"310M700US26900","Indianapolis-Carmel-Greenwood, IN Metro Area","1191","9",
"310M700US26980","Iowa City, IA Metro Area","1097","22",
"310M700US27060","Ithaca, NY Metro Area","1411","42",
"310M700US27100","Jackson, MI Metro Area","985","27",
"310M700US27140","Jackson, MS Metro Area","1072","16",
"310M700US27180","Jackson, TN Metro Area","997","27",
"310M700US27260","Jacksonville, FL Metro Area","1513","19",
"310M700US27340","Jacksonville, NC Metro Area","1265","40",
"310M700US27500","Janesville-Beloit, WI Metro Area","1037","27",
"310M700US27620","Jefferson City, MO Metro Area","827","20",
"310M700US27740","Johnson City, TN Metro Area","939","21",
"310M700US27780","Johnstown, PA Metro Area","739","19",
"310M700US27860","Jonesboro, AR Metro Area","929","23",
"310M700US27900","Joplin, MO-KS Metro Area","928","23",
"310M700US27980","Kahului-Wailuku, HI Metro Area","1914","81",
"310M700US28020","Kalamazoo-Portage, MI Metro Area","1093","21",
"310M700US28100","Kankakee, IL Metro Area","1097","36",
"310M700US28140","Kansas City, MO-KS Metro Area","1249","9",
"310M700US28420","Kennewick-Richland, WA Metro Area","1284","33",
"310M700US28450","Kenosha, WI Metro Area","1219","30",
"310M700US28660","Killeen-Temple, TX Metro Area","1217","18",
"310M700US28700","Kingsport-Bristol, TN-VA Metro Area","849","20",
"310M700US28740","Kingston, NY Metro Area","1425","48",
"310M700US28880","Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area","1638","29",
"310M700US28940","Knoxville, TN Metro Area","1145","15",
"310M700US29020","Kokomo, IN Metro Area","937","19",
"310M700US29100","La Crosse-Onalaska, WI-MN Metro Area","1027","30",
"310M700US29180","Lafayette, LA Metro Area","977","19",
"310M700US29200","Lafayette-West Lafayette, IN Metro Area","1107","18",
"310M700US29340","Lake Charles, LA Metro Area","1081","27",
"310M700US29420","Lake Havasu City-Kingman, AZ Metro Area","1091","28",
"310M700US29460","Lakeland-Winter Haven, FL Metro Area","1363","28",
"310M700US29540","Lancaster, PA Metro Area","1357","20",
"310M700US29620","Lansing-East Lansing, MI Metro Area","1086","13",
"310M700US29700","Laredo, TX Metro Area","1027","27",
"310M700US29740","Las Cruces, NM Metro Area","934","32",
"310M700US29820","Las Vegas-Henderson-North Las Vegas, NV Metro Area","1626","11",
"310M700US29940","Lawrence, KS Metro Area","1099","33",
"310M700US30020","Lawton, OK Metro Area","965","20",
"310M700US30140","Lebanon, PA Metro Area","1110","33",
"310M700US30300","Lewiston, ID-WA Metro Area","1024","48",
"310M700US30340","Lewiston-Auburn, ME Metro Area","1010","34",
"310M700US30460","Lexington-Fayette, KY Metro Area","1138","14",
"310M700US30500","Lexington Park, MD Metro Area","1750","52",
"310M700US30620","Lima, OH Metro Area","922","24",
"310M700US30700","Lincoln, NE Metro Area","1082","19",
"310M700US30780","Little Rock-North Little Rock-Conway, AR Metro Area","1055","14",
"310M700US30860","Logan, UT-ID Metro Area","1201","43",
"310M700US30980","Longview, TX Metro Area","1060","24",
"310M700US31020","Longview-Kelso, WA Metro Area","1206","39",
"310M700US31080","Los Angeles-Long Beach-Anaheim, CA Metro Area","2063","6",
"310M700US31140","Louisville/Jefferson County, KY-IN Metro Area","1116","9",
"310M700US31180","Lubbock, TX Metro Area","1159","16",
"310M700US31340","Lynchburg, VA Metro Area","991","21",
"310M700US31420","Macon-Bibb County, GA Metro Area","1044","23",
"310M700US31540","Madison, WI Metro Area","1354","16",
"310M700US31700","Manchester-Nashua, NH Metro Area","1623","21",
"310M700US31740","Manhattan, KS Metro Area","1063","25",
"310M700US31860","Mankato, MN Metro Area","1069","40",
"310M700US31900","Mansfield, OH Metro Area","824","25",
"310M700US32420","Mayagüez, PR Metro Area","504","16",
"310M700US32580","McAllen-Edinburg-Mission, TX Metro Area","957","14",
"310M700US32780","Medford, OR Metro Area","1358","34",
"310M700US32820","Memphis, TN-MS-AR Metro Area","1220","11",
"310M700US32900","Merced, CA Metro Area","1343","27",
"310M700US33100","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","1869","7",
"310M700US33140","Michigan City-La Porte, IN Metro Area","976","30",
"310M700US33220","Midland, MI Metro Area","1016","41",
"310M700US33260","Midland, TX Metro Area","1400","50",
"310M700US33340","Milwaukee-Waukesha, WI Metro Area","1139","7",
"310M700US33460","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","1440","9",
"310M700US33500","Minot, ND Metro Area","1039","35",
"310M700US33540","Missoula, MT Metro Area","1184","31",
"310M700US33660","Mobile, AL Metro Area","1052","22",
"310M700US33700","Modesto, CA Metro Area","1623","24",
"310M700US33740","Monroe, LA Metro Area","931","24",
"310M700US33780","Monroe, MI Metro Area","1059","43",
"310M700US33860","Montgomery, AL Metro Area","1095","17",
"310M700US34060","Morgantown, WV Metro Area","967","24",
"310M700US34100","Morristown, TN Metro Area","873","35",
"310M700US34580","Mount Vernon-Anacortes, WA Metro Area","1536","53",
"310M700US34620","Muncie, IN Metro Area","906","26",
"310M700US34740","Muskegon-Norton Shores, MI Metro Area","1028","36",
"310M700US34820","Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area","1255","35",
"310M700US34900","Napa, CA Metro Area","2237","56",
"310M700US34940","Naples-Marco Island, FL Metro Area","1862","41",
"310M700US34980","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","1528","16",
"310M700US35300","New Haven, CT Metro Area","1525","24",
"310M700US35380","New Orleans-Metairie, LA Metro Area","1217","11",
"310M700US35620","New York-Newark-Jersey City, NY-NJ Metro Area","1830","5",
"310M700US35660","Niles, MI Metro Area","942","24",
"310M700US35840","North Port-Bradenton-Sarasota, FL Metro Area","1747","21",
"310M700US35980","Norwich-New London-Willimantic, CT Metro Area","1365","26",
"310M700US36100","Ocala, FL Metro Area","1277","42",
"310M700US36220","Odessa, TX Metro Area","1259","48",
"310M700US36260","Ogden, UT Metro Area","1500","31",
"310M700US36420","Oklahoma City, OK Metro Area","1124","9",
"310M700US36500","Olympia-Lacey-Tumwater, WA Metro Area","1736","30",
"310M700US36540","Omaha, NE-IA Metro Area","1192","10",
"310M700US36740","Orlando-Kissimmee-Sanford, FL Metro Area","1760","11",
"310M700US36780","Oshkosh-Neenah, WI Metro Area","965","17",
"310M700US36980","Owensboro, KY Metro Area","907","38",
"310M700US37100","Oxnard-Thousand Oaks-Ventura, CA Metro Area","2317","25",
"310M700US37140","Paducah, KY-IL Metro Area","874","36",
"310M700US37340","Palm Bay-Melbourne-Titusville, FL Metro Area","1556","27",
"310M700US37460","Panama City-Panama City Beach, FL Metro Area","1456","36",
"310M700US37620","Parkersburg-Vienna, WV Metro Area","818","24",
"310M700US37860","Pensacola-Ferry Pass-Brent, FL Metro Area","1354","26",
"310M700US37900","Peoria, IL Metro Area","955","18",
"310M700US37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","1480","8",
"310M700US38060","Phoenix-Mesa-Chandler, AZ Metro Area","1702","8",
"310M700US38240","Pinehurst-Southern Pines, NC Metro Area","1254","79",
"310M700US38300","Pittsburgh, PA Metro Area","1053","9",
"310M700US38340","Pittsfield, MA Metro Area","1097","42",
"310M700US38540","Pocatello, ID Metro Area","960","32",
"310M700US38660","Ponce, PR Metro Area","533","19",
"310M700US38860","Portland-South Portland, ME Metro Area","1485","29",
"310M700US38900","Portland-Vancouver-Hillsboro, OR-WA Metro Area","1724","8",
"310M700US38940","Port St. Lucie, FL Metro Area","1580","41",
"310M700US39150","Prescott Valley-Prescott, AZ Metro Area","1351","45",
"310M700US39300","Providence-Warwick, RI-MA Metro Area","1307","15",
"310M700US39340","Provo-Orem-Lehi, UT Metro Area","1534","23",
"310M700US39380","Pueblo, CO Metro Area","1111","26",
"310M700US39460","Punta Gorda, FL Metro Area","1464","59",
"310M700US39540","Racine-Mount Pleasant, WI Metro Area","1080","26",
"310M700US39580","Raleigh-Cary, NC Metro Area","1573","16",
"310M700US39660","Rapid City, SD Metro Area","1140","38",
"310M700US39740","Reading, PA Metro Area","1181","20",
"310M700US39820","Redding, CA Metro Area","1317","39",
"310M700US39900","Reno, NV Metro Area","1592","24",
"310M700US40060","Richmond, VA Metro Area","1447","12",
"310M700US40140","Riverside-San Bernardino-Ontario, CA Metro Area","1846","10",
"310M700US40220","Roanoke, VA Metro Area","1043","23",
"310M700US40340","Rochester, MN Metro Area","1276","42",
"310M700US40380","Rochester, NY Metro Area","1143","11",
"310M700US40420","Rockford, IL Metro Area","1023","20",
"310M700US40580","Rocky Mount, NC Metro Area","920","27",
"310M700US40660","Rome, GA Metro Area","1014","36",
"310M700US40900","Sacramento-Roseville-Folsom, CA Metro Area","1819","11",
"310M700US40980","Saginaw, MI Metro Area","947","19",
"310M700US41060","St. Cloud, MN Metro Area","1042","37",
"310M700US41100","St. George, UT Metro Area","1566","56",
"310M700US41140","St. Joseph, MO-KS Metro Area","895","24",
"310M700US41180","St. Louis, MO-IL Metro Area","1113","7",
"310M700US41420","Salem, OR Metro Area","1399","18",
"310M700US41500","Salinas, CA Metro Area","2055","32",
"310M700US41540","Salisbury, MD Metro Area","1274","50",
"310M700US41620","Salt Lake City-Murray, UT Metro Area","1583","17",
"310M700US41660","San Angelo, TX Metro Area","1155","40",
"310M700US41700","San Antonio-New Braunfels, TX Metro Area","1363","11",
"310M700US41740","San Diego-Chula Vista-Carlsbad, CA Metro Area","2246","11",
"310M700US41780","Sandusky, OH Metro Area","932","21",
"310M700US41860","San Francisco-Oakland-Fremont, CA Metro Area","2474","12",
"310M700US41940","San Jose-Sunnyvale-Santa Clara, CA Metro Area","2840","19",
"310M700US41980","San Juan-Bayamón-Caguas, PR Metro Area","623","9",
"310M700US42020","San Luis Obispo-Paso Robles, CA Metro Area","1992","45",
"310M700US42100","Santa Cruz-Watsonville, CA Metro Area","2264","51",
"310M700US42140","Santa Fe, NM Metro Area","1389","58",
"310M700US42200","Santa Maria-Santa Barbara, CA Metro Area","2131","35",
"310M700US42220","Santa Rosa-Petaluma, CA Metro Area","2158","30",
"310M700US42340","Savannah, GA Metro Area","1454","26",
"310M700US42540","Scranton--Wilkes-Barre, PA Metro Area","1003","19",
"310M700US42660","Seattle-Tacoma-Bellevue, WA Metro Area","2000","10",
"310M700US42680","Sebastian-Vero Beach-West Vero Corridor, FL Metro Area","1357","58",
"310M700US42700","Sebring, FL Metro Area","1035","52",
"310M700US43100","Sheboygan, WI Metro Area","934","28",
"310M700US43300","Sherman-Denison, TX Metro Area","1310","38",
"310M700US43340","Shreveport-Bossier City, LA Metro Area","1014","22",
